iteration,successes,reward_episode,episode_count,random_act,timestep
57,71819,57,756,57595,14224
61,71880,61,757,57646,14234
101,71981,101,758,57718,14263
90,72071,90,759,57790,14281
101,72172,101,760,57869,14303
101,72273,101,761,57955,14318
101,72374,101,762,58038,14336
101,72475,101,763,58123,14352
102,72577,102,764,58198,14379
101,72678,101,765,58274,14404
101,72779,101,766,58353,14426
101,72880,101,767,58431,14449
101,72981,101,768,58515,14466
101,73082,101,769,58592,14490
51,73133,51,770,58639,14494
101,73234,101,771,58720,14514
108,73342,108,772,58807,14535
101,73443,101,773,58892,14551
101,73544,101,774,58973,14571
101,73645,101,775,59056,14589
101,73746,101,776,59137,14609
137,73883,137,777,59254,14629
139,74022,139,778,59364,14658
101,74123,101,779,59440,14683
101,74224,101,780,59519,14705
109,74333,109,781,59612,14721
101,74434,101,782,59689,14745
101,74535,101,783,59770,14765
101,74636,101,784,59848,14788
101,74737,101,785,59933,14804
101,74838,101,786,60012,14826
101,74939,101,787,60087,14852
101,75040,101,788,60168,14872
101,75141,101,789,60252,14889
119,75260,119,790,60354,14906
32,75292,32,791,60381,14911
101,75393,101,792,60462,14931
101,75494,101,793,60544,14950
101,75595,101,794,60625,14970
116,75711,116,795,60722,14989
101,75812,101,796,60801,15011
101,75913,101,797,60883,15030
101,76014,101,798,60964,15050
101,76115,101,799,61043,15072
101,76216,101,800,61125,15091
101,76317,101,801,61204,15113
101,76418,101,802,61285,15133
43,76461,43,803,61321,15140
101,76562,101,804,61403,15159
101,76663,101,805,61482,15181
113,76776,113,806,61574,15202
100,76876,100,807,61660,15216
101,76977,101,808,61744,15233
111,77088,111,809,61831,15257
101,77189,101,810,61905,15284
101,77290,101,811,61987,15303
101,77391,101,812,62072,15319
101,77492,101,813,62150,15342
101,77593,101,814,62236,15357
115,77708,115,815,62327,15381
58,77766,58,816,62376,15390
101,77867,101,817,62460,15407
101,77968,101,818,62542,15426
101,78069,101,819,62624,15445
101,78170,101,820,62709,15461
101,78271,101,821,62786,15485
101,78372,101,822,62875,15497
101,78473,101,823,62959,15514
101,78574,101,824,63037,15537
121,78695,121,825,63137,15558
101,78796,101,826,63222,15574
72,78868,72,827,63281,15587
101,78969,101,828,63362,15607
101,79070,101,829,63445,15625
101,79171,101,830,63522,15649
107,79278,107,831,63605,15673
101,79379,101,832,63687,15692
101,79480,101,833,63775,15705
101,79581,101,834,63858,15723
